,cp_name
659,현대위아(주) 평택공장
660,현대위아(주)창원3공장
661,(주)어프로티움 울산 1공장
662,(주)어프로티움 서산공장
663,(주)어프로티움 울산 2공장
664,LS ELECTRIC 본사
665,LS일렉트릭 부산공장
666,LS일렉트릭 천안사업장
667,LS일렉트릭 청주사업장
668,(주)오뚜기센터
669,(주)오뚜기 대풍공장
670,(주)오뚜기 삼남공장
671,(주)오뚜기 안양공장
672,(주)오뚜기 포승공장
673,재원산업
674,해태htb(주)천안공장
675,(주)풍정주공 본사
676,이녹스첨단소재
677,에이치디현대일렉트릭(주)
678,에이치디현대일렉트릭(주) 선암공장
679,(주)한영특수강
680,한국앤컴퍼니(주)
681,한국앤컴퍼니(주) 대전공장
682,한국앤컴퍼니(주) 전주공장
683,(주)원익아이피에스
684,삼화페인트공업(주) 대표사업
685,(주)지씨셀
686,(주)동인섬유
687,한국지엠(주) 부평공장 (본사)
688,한국지엠(주) 보령공장
689,한국지엠(주) 창원공장
690,ROHMKOREA 대전공장
691,롯데정밀화학(주)
692,롯데정밀화학(주) 인천
693,(주)휴비스 전주공장
694,(주)휴비스
695,코카콜라음료(주) 여주공장
696,코카콜라음료(주) 광주공장
697,삼성전자(주) 수원사업장
698,삼성전자(주) CS아카데미
699,삼성전자(주) SAIT
700,삼성전자(주) 광주2사업장
701,삼성전자(주) 구미사업장
702,삼성전자(주) 기흥사업장
703,삼성전자(주) 서울R&D
704,삼성전자(주) 서울대공동연구소
705,삼성전자(주) 서초사옥
706,삼성전자(주) 온양사업장
707,삼성전자(주) 인재개발원
708,삼성전자(주) 천안사업장(TP)
709,삼성전자(주) 평택사업장
710,삼성전자(주) 하남사업장
711,삼성전자(주) 화성사업장
712,(주)엘엑스엠엠에이
713,(주)엘엑스엠엠에이 MMA2공장
714,(주)엘엑스엠엠에이 피엠엠에이
715,셰플러코리아 유한책임회사 창원1공장
716,셰플러코리아 유한책임회사 전주공장
717,셰플러코리아 유한책임회사 창원2공장
718,셰플러코리아 유한책임회사 창원3공장
719,한화임팩트주식회사 울산사업장
720,한화임팩트주식회사 대산사업장
721,스템코(주)
722,라이온코리아(주)
723,금호미쓰이화학(주)
724,삼성전기(주) 수원사업장
725,삼성전기(주) 부산사업장
726,삼성전기(주) 세종사업장
727,SK하이닉스(주) 이천본사
728,SK하이닉스(주) 분당사업장
729,SK하이닉스(주) 청주사업장
730,DL케미칼(주)HDPE공장
731,DL케미칼(주) 본사 사옥(돈의문센터)
732,DL케미칼(주)여수C4공장
733,DL케미칼(주)여수LHDPE공장
734,DL케미칼(주)여수PB공장
735,온세미컨덕터코리아(주)
736,한화토탈(주)
737,(주)한독 음성공장
738,한온시스템(주) 대전공장
